EDAD;GENERO;INGRESOS_MES;DISTANCIA_RECORRIDA;NINOS_HOGAR;VEHICULO;GUSTO_CONDUCIR;GUSTO_MUSICA;SUBSCRIPTOR_CLARO_MUSICA
61;HOMBRE;1852196;1944;4;1;4;2;NO
45;HOMBRE;2299772;1951;0;1;6;4;NO
57;HOMBRE;2254486;1635;2;1;5;2;NO
51;HOMBRE;1632266;1789;3;1;5;3;SI
55;HOMBRE;2192926;1703;0;1;5;2;NO
57;MUJER;2223550;1985;2;1;5;2;NO
52;HOMBRE;2411316;2182;2;1;5;2;NO
42;MUJER;2770115;2300;1;1;6;4;NO
58;MUJER;2418515;1506;0;1;5;2;NO
49;HOMBRE;2140090;2572;1;1;5;3;NO
62;HOMBRE;2085245;1842;2;1;4;3;NO
52;HOMBRE;2081341;2132;3;1;5;3;NO
47;MUJER;1930635;1585;3;1;5;3;NO
57;HOMBRE;2674013;2685;0;1;5;2;NO
53;HOMBRE;2413889;2174;0;1;5;4;NO
56;MUJER;2384352;2178;0;1;5;3;NO
56;HOMBRE;2287523;2120;2;1;4;3;NO
58;MUJER;2240847;1721;2;1;5;4;NO
52;MUJER;2585713;1736;4;1;5;3;NO
46;MUJER;2633591;2116;3;1;5;4;NO
62;MUJER;2456516;1226;4;1;5;2;NO
51;HOMBRE;3046149;2302;2;1;6;3;NO
44;HOMBRE;2796999;2255;3;1;6;5;NO
52;HOMBRE;2136003;1908;5;1;4;2;NO
47;HOMBRE;2239555;2075;0;1;5;5;NO
54;HOMBRE;2243757;1877;3;1;4;2;NO
41;MUJER;2518143;1840;6;1;6;5;NO
59;MUJER;2056794;2021;2;1;4;1;NO
49;MUJER;2197618;1466;2;1;4;4;NO
54;MUJER;2344662;1953;3;1;5;3;NO
68;HOMBRE;2138258;2443;1;1;5;2;NO
57;HOMBRE;2212342;1740;0;1;4;3;NO
51;MUJER;2726697;1638;1;1;4;5;NO
51;MUJER;2092677;2623;3;1;4;2;NO
59;HOMBRE;1948644;2144;1;1;5;2;NO
48;HOMBRE;2038775;2308;1;1;5;3;NO
58;HOMBRE;1985695;2100;1;1;5;2;NO
57;HOMBRE;2178425;2074;0;1;5;3;NO
47;MUJER;2021037;1931;1;1;5;2;NO
55;HOMBRE;2620758;2319;2;1;4;4;NO
59;HOMBRE;2933160;1769;3;1;6;2;NO
44;MUJER;1551216;2242;1;1;5;2;NO
55;HOMBRE;2626602;1724;3;1;3;3;NO
57;MUJER;2293939;2070;0;1;5;3;NO
60;HOMBRE;2643835;2542;0;1;4;3;NO
48;HOMBRE;1871104;2160;5;1;5;3;NO
53;MUJER;2514100;1252;2;1;5;3;SI
54;HOMBRE;2472760;2422;2;1;4;2;NO
61;HOMBRE;2314681;2655;1;1;4;4;NO
55;MUJER;1924318;2614;1;1;3;2;NO
51;HOMBRE;2539954;1825;3;1;4;4;SI
54;MUJER;2052153;2342;1;1;6;3;NO
48;MUJER;2695475;1408;1;1;5;3;NO
57;MUJER;2398988;1708;1;1;5;2;NO
