Operador;agilidad;precio;tecnologia;servicio_cliente;valor_agregado;transparencia;capacidad_planes;cobertura;canales_digitales
OPERADOR A;6;5;4;4;3;4;5;4;3
OPERADOR B;4;3;4;2;4;4;5;2;5
OPERADOR A;3;2;3;6;5;5;6;4;3
OPERADOR A;4;1;4;4;5;4;5;3;3
OPERADOR A;4;1;3;3;3;5;5;4;4
OPERADOR A;4;3;4;4;3;4;6;2;4
OPERADOR B;5;3;5;4;6;3;5;3;4
OPERADOR A;4;2;7;5;4;3;5;4;4
OPERADOR A;5;4;4;3;3;4;4;3;3
OPERADOR A;5;3;5;4;5;6;4;5;5
OPERADOR B;3;3;5;4;4;4;3;6;4
OPERADOR B;6;3;3;4;4;3;4;3;4
OPERADOR B;4;3;5;4;6;4;3;5;5
OPERADOR A;5;4;5;4;4;4;5;4;4
OPERADOR A;4;4;3;6;4;6;4;3;4
OPERADOR A;3;4;3;5;4;5;4;4;3
OPERADOR B;3;3;3;4;3;3;3;3;4
OPERADOR A;4;4;4;4;4;4;5;4;3
OPERADOR C;5;5;5;5;4;3;5;3;2
OPERADOR A;4;3;3;3;5;3;3;4;4
OPERADOR A;4;6;5;5;4;5;2;5;4
OPERADOR C;4;4;3;3;3;5;4;4;4
OPERADOR A;4;5;4;3;4;5;5;4;3
OPERADOR A;4;3;5;5;3;5;3;4;5
OPERADOR D;4;5;2;2;4;5;3;4;4
OPERADOR C;2;1;4;4;5;4;5;3;4
OPERADOR A;4;4;3;4;4;3;4;3;4
OPERADOR D;5;5;3;4;5;6;3;7;5
OPERADOR D;3;3;2;4;3;5;4;6;4
OPERADOR B;5;5;5;3;3;4;5;5;3
OPERADOR B;3;4;4;4;5;3;4;4;3
OPERADOR B;2;1;5;4;4;4;6;4;4
OPERADOR A;4;3;3;2;2;4;3;2;4
OPERADOR B;4;3;3;3;3;5;3;5;5
OPERADOR B;5;3;2;3;3;4;4;3;3
OPERADOR B;4;4;5;3;2;4;4;6;4
OPERADOR B;5;4;3;4;4;7;4;5;5
OPERADOR D;5;5;4;5;5;5;4;5;5
OPERADOR C;5;5;5;3;4;4;5;6;3
OPERADOR B;3;4;3;4;4;5;3;3;4
OPERADOR A;4;5;4;5;5;4;5;2;4
OPERADOR A;4;4;4;5;4;4;5;3;5
OPERADOR D;3;2;3;3;3;5;3;4;4
OPERADOR A;4;3;3;6;5;4;4;3;3
OPERADOR D;5;3;4;2;2;6;4;6;6
OPERADOR A;4;4;6;4;4;5;4;3;4
OPERADOR C;3;4;4;4;3;3;3;1;1
OPERADOR A;6;6;5;4;4;5;3;4;5
OPERADOR D;4;5;1;4;2;2;3;2;1
OPERADOR B;5;4;5;3;4;3;3;5;5
OPERADOR A;5;4;3;5;4;5;3;5;4
OPERADOR D;6;4;4;3;4;4;4;4;5
